,eid,pvs,psi,rho
0,1,1000.0,4.583333492279053,1.0
1,1,1001.0,1.9064348936080933,0.7733927369117737
2,1,1002.0,1.7931034564971924,0.8250730633735657
3,1,1003.0,1.250017762184143,0.8815190196037292
4,1,1004.0,1.074201226234436,0.5699145197868347
5,1,1005.0,1.883262276649475,0.8763610124588013
6,1,1006.0,2.826090097427368,0.8737024068832397
7,1,1007.0,2.506598472595215,0.9468144774436951
8,1,1008.0,1.3316328525543213,0.8143937587738037
9,1,1009.0,2.6343941688537598,0.9121394753456116
10,1,1010.0,4.093565464019775,0.7733928561210632
11,1,1011.0,4.247251987457275,0.9527626037597656
12,1,1012.0,3.0490381717681885,0.8479769229888916
13,1,1013.0,2.5077836513519287,0.8926730751991272
14,1,1014.0,1.3333333730697632,1.0
15,1,1015.0,4.416666507720947,0.9999991655349731
16,1,1016.0,4.958333492279053,1.0
17,1,1017.0,1.7112772464752197,0.9025872945785522
18,1,1018.0,1.9028860330581665,0.9104375243186951
19,1,1019.0,1.2083333730697632,1.0
20,1,1020.0,1.6265350580215454,0.8928439021110535
21,1,1021.0,1.883262276649475,0.8763610124588013
22,1,1022.0,2.50443434715271,0.9199243187904358
23,1,1023.0,2.50443434715271,0.9199243187904358
24,1,1024.0,1.3743129968643188,0.8404557108879089
25,1,1025.0,2.955406427383423,0.775822103023529
26,1,1026.0,4.79250431060791,0.8522823452949524
27,1,1027.0,4.7085700035095215,0.9016385078430176
28,1,1028.0,2.365496873855591,0.884350061416626
29,1,1029.0,2.4040603637695312,0.8686450719833374
30,1,1030.0,1.3333333730697632,1.0
31,1,1031.0,3.8473339080810547,0.8767444491386414
32,1,1032.0,4.75,1.0
33,1,1033.0,3.0799872875213623,0.8046845197677612
34,1,1034.0,3.351376533508301,0.8796764016151428
35,1,1035.0,1.4943978786468506,0.9222401976585388
36,1,1036.0,1.0,
37,1,1037.0,3.265395164489746,0.7985266447067261
38,1,1038.0,4.457364559173584,0.9389757513999939
39,1,1039.0,3.0490381717681885,0.8479769229888916
40,1,1040.0,1.5419703722000122,0.8798226118087769
41,1,1041.0,4.247251987457275,0.9527626037597656
42,1,1042.0,4.668175220489502,0.8141934275627136
43,1,1043.0,4.039249420166016,0.7757116556167603
44,1,1044.0,2.2816379070281982,0.8965728282928467
45,1,1045.0,2.099430799484253,0.8374241590499878
46,1,1046.0,1.0416666269302368,0.9999990463256836
47,1,1047.0,4.583700656890869,0.8607207536697388
48,1,1048.0,4.664691925048828,0.7761687636375427
49,1,1049.0,3.6406421661376953,0.944644570350647
50,1,1050.0,2.767183780670166,0.912460207939148
51,1,1051.0,2.61607027053833,0.914219856262207
52,1,1052.0,1.1666666269302368,0.9999997615814209
53,1,1053.0,3.585129976272583,0.972933828830719
54,1,1054.0,3.334402322769165,0.9188172817230225
